Gene	S1	S2	S3	S4	S5	S6	S7	S8	S9
G5333	4538.669841	4657.216903	5096.00049	2618.83914	2727.367785	2667.63095	2231.424862	2578.297408	2324.893071
G5334	4850.529364	4933.09026	4924.979233	4740.153516	4639.963094	4089.321327	4198.506935	4329.086174	4279.420188
G5335	1833.28848	2075.477341	1765.415633	2009.234622	1740.702381	1714.606717	1952.625828	2097.287833	1915.196219
G5336	45759.81605	46940.98896	49902.48738	59209.54733	50614.44552	51734.25623	47790.2848	35616.23022	51176.05321
G5337	2436.959414	2532.299891	2289.303534	2830.241603	2557.766764	2694.830325	2605.222085	2657.927628	2754.255372
G5338	3878.195923	4044.164996	3837.15415	3675.395849	3236.170851	3498.257999	3598.572718	3387.512621	3253.53927
G5339	2708.722712	2698.417182	2858.652781	1532.667861	1653.609964	1755.405778	1634.588411	1576.463148	1372.211324
G5340	32592.66148	37180.60934	39484.26208	39345.00549	61190.44439	61316.80506	60732.75551	56448.14154	55262.09649
G5341	2915.886538	2949.570705	3167.140491	2397.413283	2445.463384	2394.591077	2766.305972	2554.623559	2513.899886
G5342	6282.8556	7153.920231	7307.370286	7333.478565	8100.740704	6965.132105	7665.940848	6989.16597	7792.980393
G5343	60.14433654	56.36122366	68.19202015	57.40670348	75.63288817	55.44487858	57.82498485	66.71721173	65.55149637
G5344	57.91676852	49.43966988	58.45030298	56.49548596	66.46526536	46.02971052	61.95534091	75.32588421	48.07109734
G5345	1078.142922	1614.699618	1340.027317	1991.46588	1801.437882	1622.547296	2155.013275	2132.798607	2767.365672
G5346	707.2528464	695.1217585	645.1181589	1366.370664	1233.045268	1294.062543	1063.566686	1059.942799	1055.379092
G5347	6549.049979	7846.07561	6519.373609	5073.203518	4717.887888	4273.44017	3254.720576	2818.264153	3551.798578
G5348	2351.198045	2245.549806	2457.077551	2768.734421	2553.182952	2558.833453	2766.305972	2774.144707	2776.105871
G5349	1445.691645	1456.492675	1327.03836	830.1191566	866.3403554	855.7341637	955.144839	982.4647469	659.8850634
G5350	2853.514634	2927.81725	2828.345217	4616.227933	4099.073348	4303.777933	3608.898608	3600.577265	3535.410704
G5351	721.7320385	617.0070801	700.3212228	809.1611538	921.3460922	790.8741171	720.7471326	671.4764535	683.9206121
G5352	1426.757317	1692.814297	1384.40625	1621.05596	1365.975798	1467.720088	1361.984911	1475.311246	1442.13292
G5353	1841.084969	2033.948019	1993.80478	3750.571294	3002.39647	3608.101627	3107.060347	2939.861652	2962.927636
G5354	261.7392424	332.2345816	327.9711445	467.9101942	434.3161305	471.8045328	377.9275795	432.5857922	431.5473511
G5355	486.7236124	497.363079	569.3492476	696.1701818	560.3709442	550.2642666	581.3476155	597.2266534	603.0737666
G5356	607.0122855	629.8613942	760.9363518	703.0043132	792.9993729	756.3518342	691.8346401	595.0744852	599.7961918
G5357	41.21000837	39.5517359	27.06032546	71.07496621	64.17335966	78.45973383	69.18346401	49.49986676	86.30947022
G5358	543.5265969	602.1751791	634.2940287	621.4503456	516.8247358	486.4503498	509.0663845	508.9877604	506.9315719
G5359	976.7885768	958.1408022	1027.209954	803.6938487	765.4965045	678.9382301	711.4538314	773.7044392	697.0309114
G5360	735.0974466	922.5442399	877.8369578	2442.062942	2440.879573	2618.462851	2565.983703	2619.188602	3414.140436
G5361	3333.555542	3734.672663	3666.132893	7918.48021	7100.323865	8275.932725	6795.468309	7724.131383	10580.01151
G5362	320.7697949	298.6156061	321.4766664	307.0803027	264.7151086	266.763095	256.0820758	271.1731831	227.2451874
G5363	25.61703223	29.66380193	32.47239055	65.60766112	67.61121821	56.49100836	29.94508144	38.73902616	60.08887167
G5364	574.7125492	499.3406658	488.1682712	790.4811947	473.2785275	555.4949156	710.4212424	542.3463663	652.2373889
G5365	216.0740979	248.1871428	268.4384285	198.6454184	162.7253048	153.7810783	188.9637898	218.4450642	194.4694392
G5366	11023.12035	11278.17749	10618.47171	10463.96634	10070.63365	10627.63248	10473.55038	9892.440764	10032.65652
G5367	7149.37956	7331.903043	7404.787458	6153.451882	3865.298967	4887.518353	3968.239585	4005.184872	4390.857732
G5368	1277.510259	1187.54087	1317.296643	1226.498776	964.8923006	1188.403435	1138.945684	1299.909545	1122.023113
G5369	2389.066701	2737.968918	2646.49983	4147.406522	3901.969458	3410.383097	3816.449	3589.816424	4190.925668
G5370	182.6605776	108.7672737	87.67545448	71.07496621	46.98406689	48.12197009	55.75980682	45.19553052	39.33089782
G5371	1610.531678	1721.489305	1827.113175	1219.664644	1129.909511	1300.339322	1127.587205	1149.257776	997.4752697
G5372	826.4277354	878.048537	929.7927826	838.3201143	839.9834398	836.9038276	779.6047064	910.3671148	756.0272581
G5373	6448.809418	6254.11824	6454.428828	4751.088126	5548.703705	5580.05627	5908.474345	6126.146554	5073.685819
G5374	7448.987459	8032.957562	7999.032205	4459.95413	3841.233957	3860.218905	3742.102591	3499.425363	4005.196428
G5375	2972.689523	3155.239732	3392.282399	3435.745642	3609.751481	3131.066445	3214.449604	2839.785835	3174.877474
G5376	6025.571494	7003.623635	7839.917491	14024.54878	12850.71527	11473.95148	11581.51839	10354.08083	11249.7293
G5377	1329.858108	1398.153864	1373.58212	1511.709858	1365.975798	1459.351049	1503.449606	1553.865383	1534.99754
G5378	7395.525826	7322.015109	10617.3893	11751.51669	7434.942098	4888.564483	5050.392873	4364.596948	5199.326187
G5379	236.1222101	254.1199032	254.3670593	389.5454879	364.4130066	315.9311949	261.2450208	329.2817224	322.2948571
G5380	867.6377438	852.3399087	847.5293933	954.9559562	854.8808269	755.3057044	675.3132159	726.3567406	706.8636358
G5381	1398.912717	1360.579715	1526.202356	1749.993239	1509.219905	1431.105545	1348.561254	1788.451708	1394.061823
G5382	60.14433654	61.30519065	51.95582487	51.02818087	49.27597259	44.98358073	20.6517803	48.4237827	40.42342276
G5383	307.4043868	324.3242344	340.9601007	523.9500714	520.2625944	579.5559006	484.2842481	475.6291546	429.3623012
G5384	691.6598702	620.9622537	619.1402464	871.5795536	748.3072117	827.4886595	756.8877481	827.5086422	795.3581559
G5385	2000.356082	2035.925606	2148.589841	1730.402062	1536.722773	1617.316647	1209.161737	1474.235162	1344.8982
G5386	1053.639673	1012.524439	1044.528563	1190.050075	1093.23902	1152.835022	1182.314422	1179.38813	1080.507165
G5387	410.9862997	388.5958052	399.4104037	509.8261999	507.657113	501.0961668	425.4266742	445.4988009	470.8782489
G5388	1528.111662	1700.724644	1629.031592	1832.914032	1485.154895	1562.917898	1320.68135	1457.017817	1226.905507
G5389	294.0389786	331.2457882	285.7570368	400.4800981	382.7482522	331.6231417	389.2860587	401.3793544	483.9885482
G5390	2470.372934	2470.994701	2270.902512	2869.879565	2405.355034	2571.38701	1969.147252	2231.798341	2076.88991
G5391	593.6468773	689.1889981	561.7723565	759.9554079	729.9719661	717.6450321	748.627036	766.1718508	757.119783
G5392	9333.510004	9015.818199	9182.109634	5503.753794	6472.341703	6588.525383	7217.797216	7183.937185	6141.082685
G5393	963.4231687	1083.717564	1088.907496	483.8565007	508.8030659	473.8967924	420.2637292	489.6182473	391.1239283
G5394	6461.061042	6135.463032	5793.074473	3434.378816	3655.589595	3953.324455	3578.953526	3735.087773	3305.980467
G5395	5659.136555	5870.466401	6786.729624	3475.839213	3763.309163	3455.366678	3053.365718	2858.079264	2919.226638
G5396	476.6995563	530.9820545	584.5030298	843.7874193	764.3505516	701.9530854	664.9873257	630.5852592	646.7747642
G5397	343.0454751	368.8199373	390.7510996	357.6528748	339.2020439	346.2689587	286.0271572	270.0970991	317.9247574
G5398	1266.372419	1190.507251	1188.489494	1597.819913	1555.058019	1583.840494	1496.221483	1857.321088	1426.837571
G5399	2175.220172	2245.549806	2288.221121	2187.377646	2231.170201	2423.882711	2806.576943	2758.003446	2719.294574
G5400	936.6923524	531.9708479	580.1733778	671.5673089	509.9490187	627.6778707	523.5226307	595.0744852	564.8353937
G5401	121.4024571	163.1509106	161.2795397	156.7294127	136.3683893	170.5191549	160.0512973	102.2279857	123.4553182
G5402	10315.8675	13511.86178	12836.33598	18812.54122	18279.09393	15966.03277	17237.00843	13176.64932	16543.01263
G5403	808.6071913	799.9338586	859.4359365	1331.744399	1123.033794	1052.406563	1101.772479	1051.334127	1059.749191
G5404	4060.856501	3997.691706	3804.681759	3650.792976	3848.109674	4024.461281	4354.427877	4111.717194	3831.484963
G5405	730.6423106	847.3959417	913.5565874	968.1686102	900.7189409	900.7177444	1038.784549	907.1388627	1001.845369
G5406	344.1592591	437.0466817	474.096902	919.4184731	915.616328	877.7028892	833.2993352	610.1396621	778.9702818
G5407	7042.456295	6970.004659	6964.245359	6827.297235	6379.519522	6402.314281	6708.730831	6807.307764	6350.847473
G5408	405.4173796	419.2484006	432.9652073	429.1834498	370.1427709	401.7138372	364.5039223	427.2053719	378.0136291
G5409	1048.070753	1117.336539	1146.275386	1294.384481	1074.903774	904.9022636	991.2854545	1084.692733	1018.233244
G5410	2853.514634	2735.991331	3172.552556	3151.445777	3008.126234	2985.654405	2789.02293	2965.68767	2667.945902
G5411	11250.33229	9737.637379	12042.92724	8939.043827	8161.476205	9915.218097	10617.08025	11244.00234	8166.623922
G5412	735.0974466	709.9536595	638.6236807	688.8804417	629.1281152	652.7849855	662.9221477	769.400103	692.6608116
G5413	608.1260695	624.9174273	615.8930074	885.7034251	898.4270352	868.2877211	799.2238977	824.28039	1006.215469
G5414	617.0363415	606.1303527	595.32716	857.4556821	774.6641273	778.3205596	694.9324072	742.4980015	783.3403816
G5415	868.7515278	840.4743879	826.9635459	941.2876935	867.4863082	887.1180572	878.7332519	882.3889293	840.1516784
G5416	1190.635107	1421.884906	1702.635678	11284.51771	10824.67063	11812.89753	11040.44175	10585.4389	13957.0061
G5417	1719.682511	1624.587552	1718.871873	2375.999672	2138.34802	2076.567622	2799.34882	2596.590837	3050.329631
G5418	260.6254583	260.0526636	280.3449717	351.729961	326.5965625	305.4698971	334.5588409	356.1838239	328.8500068
G5419	242.8049142	268.9518041	213.2353646	306.1690852	336.9101382	296.054729	290.1575132	320.6730499	269.85366
G5420	2953.755195	3356.953585	3446.40305	3435.745642	2547.453188	3241.956202	3427.162941	3362.762688	4197.480817
G5421	10227.87856	10326.95824	10202.82511	9174.593555	8100.740704	8770.752113	8748.094136	8485.998898	8058.463953
G5422	574.7125492	626.8950141	582.3382038	675.212179	656.6309836	806.5660638	628.8467102	612.2918302	599.7961918
G5423	5322.773784	5751.811194	5367.686157	4301.857891	4347.745117	4847.765421	5048.327695	4917.704155	4446.576504
G5424	2945.958706	3221.488889	3075.135385	2812.92847	2662.048473	2869.533999	2570.114059	2654.699376	2760.810522
G5425	846.4758476	890.9028512	903.8148702	1011.451442	982.0815933	824.3502702	719.7145435	602.6070737	901.333075
G5426	1696.293047	1659.195321	1743.767372	1493.941117	1424.419394	1435.290064	1640.783945	1498.985096	1410.449697
G5427	26550.38323	28561.29729	34475.93704	61417.42737	57242.63682	49762.30159	55089.65655	52704.4451	54641.54232
G5428	12264.98952	13307.18154	13112.3513	8907.606823	8442.234654	7165.989024	7941.642115	6595.319204	8315.207314
G5429	1089.280762	1201.383978	1317.296643	2029.281407	1756.745721	1649.74667	1518.938441	1497.909012	1610.381761
G5430	2979.372227	3691.165753	3723.500783	13360.27121	14927.18184	12078.61449	13798.48701	13565.11566	17179.95467
G5431	5247.036471	7333.88063	7466.485	32566.00279	32582.87741	27504.84429	35701.7652	32565.53191	42125.57662
G5432	874.3204479	1060.975316	1038.034084	1293.473263	1276.591476	944.6551954	1284.540735	1328.963814	1414.819797
G5433	1434.553805	1558.338395	1560.839572	1677.095837	1614.647567	1604.763089	1562.30718	1529.115449	1477.093718
G5434	2330.036149	2363.21622	2471.148921	1821.068205	2070.736802	2127.827982	2102.351235	2038.10321	1683.580932
G5435	1084.825626	1085.695151	1070.506475	882.058555	884.675601	935.2400273	1065.631864	907.1388627	868.5573269
G5436	93.55785684	124.5879681	103.9116497	90.66614279	110.0114737	73.22908491	71.24864204	93.61931323	99.41976949
G5437	95.78542486	115.6888275	104.9940628	81.55396764	112.3033794	84.73651254	91.90042235	105.4562379	103.7898692
G5438	684.9771662	790.0459247	794.4911554	916.6848206	932.8056207	796.104766	821.940856	798.4543726	913.3508494
G5439	9371.37866	9009.885439	9203.757894	5513.777186	5444.421995	6088.475346	6595.14604	6091.711864	5724.830683
G5440	22.2756802	29.66380193	40.04928167	88.388099	99.69789804	73.22908491	111.5196136	85.01064075	84.12442034
G5441	911.0753202	864.2054295	847.5293933	658.8102637	697.8852863	697.7685662	795.0935416	783.3891957	667.532738
G5442	15006.01197	13768.94806	14335.47801	11130.97756	8725.285008	10462.34397	8091.367523	8678.617945	7076.284033
G5443	533.5025408	20.76466135	63.86236807	2.278043789	0	2.092259569	2.06517803	5.3804203	15.29534915
G5444	321.8835789	334.2121684	351.7842309	241.9282504	375.8725351	304.4237673	279.8316231	284.0861919	291.7041588
G5445	160.3848974	10.87672737	254.3670593	1.822435031	4.583811404	24.06098504	0	39.81511022	4.370099758
G5446	248.3738342	187.8707455	195.9167563	113.4465807	143.2441064	134.9507422	167.2794205	192.6190468	155.1385414
G5447	270.6495144	36.58535571	364.7731871	19.13556783	16.04333991	77.41360405	9.293301136	116.2170785	93.95714479
G5448	341.9316911	450.8897893	452.4486416	413.2371433	492.7597259	529.3416709	453.3065776	423.9771197	343.052831
G5449	158.1573294	14.83190096	228.3891468	1.366826273	0	14.64581698	0	50.57595082	21.85049879
G5450	307.4043868	345.0888957	277.0977327	319.3817392	341.4939496	365.0992948	290.1575132	285.1622759	333.2201065
G5451	119.1748891	141.3974559	115.8181929	116.1802332	160.4333991	116.1204061	111.5196136	72.09763203	67.73654625
G5452	1294.21702	1257.745202	1343.274556	1127.176067	1032.503519	1128.774037	1202.966203	1128.812179	1111.097863
G5453	2464.804014	2564.930073	2722.268741	3860.373004	2899.260713	3032.730245	2561.853347	2813.959817	2948.724812
G5454	33259.81811	31822.33791	29854.03346	19439.91448	24309.09783	24581.95768	26713.07782	26329.62478	23616.01909
G5455	508.9992926	478.5760044	509.8165316	441.940495	425.1485077	508.4190752	461.5672898	518.672517	423.8996765
G5456	4784.816107	4696.768638	4419.492353	3960.151322	3888.218024	4068.398732	4147.910074	3941.695912	3862.075661
G5457	1058.09481	1292.352971	1243.692558	2066.641325	1899.989827	1704.145419	1831.812913	1653.9412	1740.392229
G5458	23706.89265	23488.78716	22258.74131	14581.75829	12136.78665	11857.88111	14289.99938	15506.37131	12889.60924
G5459	739.5525826	855.3062889	667.8488322	1811.044812	1520.679433	1618.362777	1517.905852	1381.691933	1526.25734
G5460	314.0870908	337.1785486	283.5922108	243.7506854	270.4448728	208.1798271	233.3651174	213.0646439	239.2629617
G5461	2450.324822	2459.12918	2523.104745	2524.528127	2900.406666	2839.196235	3094.669278	3340.164923	4306.733311
G5462	13211.70593	11832.89059	10725.6306	6006.745862	9937.703124	7029.992152	10989.84489	10442.31972	8733.644366
G5463	21680.91954	21003.94935	20384.00196	13497.40945	16860.4043	12714.6614	14057.66685	14795.07974	13632.52619
G5464	11332.7523	10717.53164	10344.62122	6363.031911	8031.983533	8354.392459	8761.517793	8629.118078	7422.614439
G5465	30606.7846	26539.21479	27338.5056	10811.14021	14771.33225	16203.50423	16857.01567	17791.97385	13925.32288
G5466	1453.488133	1593.934957	1551.097855	1828.357945	1678.820927	1789.928061	1714.097765	1719.582328	1637.694884
G5467	3009.444395	2859.590506	3162.810839	4175.654265	4261.798653	4266.117261	3651.234757	3956.761089	4549.273848
G5468	550.2093009	527.0268809	523.8879008	500.7140248	429.7323191	492.7271285	381.0253466	385.2380935	434.8249259
G5469	5895.258765	5686.550829	5517.059154	5147.923354	4909.262014	5020.376836	5150.554007	4580.889844	4784.16671
G5470	3289.004182	3899.80116	3915.087887	7800.93315	8150.016677	5945.155565	6313.249238	6259.580978	6216.466905
G5471	10381.58076	10465.38932	10363.02224	7281.539166	7949.474928	8940.225138	9902.528655	9423.268114	8450.680407
G5472	17104.38104	14147.65593	14261.87393	11887.74371	11137.51576	12315.03982	11048.70246	12806.4764	11026.85421
G5473	599.2157974	655.5700226	569.3492476	786.8363246	708.1988619	755.3057044	660.8569697	750.0305899	745.1020087
G5474	5264.857015	5449.240414	5372.015809	4629.896196	4554.01663	4559.033601	4648.715746	4458.216261	4419.26338
G5475	1049.184537	1260.711582	1121.379887	305.7134764	300.239647	283.5011716	320.1025947	308.8361252	319.0172823
G5476	3840.327267	4177.652105	4099.0981	4644.020068	4639.963094	4994.223591	4058.074829	4389.346881	3886.11121
G5477	1208.455651	1321.027979	1366.005229	3687.697285	3613.189339	3466.874106	2552.560045	2334.026326	2823.084444
G5478	533.5025408	534.9372281	470.8496629	562.2212071	520.2625944	484.3580902	427.4918523	548.8028706	490.5436978
G5479	2967.120603	2950.559498	2845.663825	2569.633394	2718.200163	2534.772468	2617.613153	2544.938802	2411.202541
G5480	1573.776806	1472.313369	1389.818315	1122.619979	1274.29957	1254.309612	1344.430898	1292.376956	1338.343051
G5481	18339.56751	17799.26995	17456.07474	14528.45207	13317.11808	13072.43779	14228.04404	14811.221	13547.30925
G5482	5228.102143	5112.061865	5286.505181	4602.559671	3836.650145	3681.330712	3530.421843	3800.7289	3029.571657
G5483	1943.553097	1579.103056	1916.953455	1962.762528	1949.2658	2013.799835	2513.321663	2352.319755	2128.238582
G5484	15198.6966	14685.55954	14333.31319	10177.38843	11182.20792	11063.8686	11995.58659	11730.39234	10788.68378
G5485	5699.232779	5393.867984	5550.613957	4099.567602	4321.388201	4613.432349	4903.765233	4477.585774	4040.157226
G5486	3030.606291	3057.349185	3212.601838	2414.270807	2828.211636	2670.76934	3273.307178	2989.361519	2761.903047
G5487	6403.144274	5624.256845	6174.083856	3174.681824	4465.778261	4511.95776	4861.429083	4539.99865	3838.040112
G5488	6434.330226	6289.714802	6130.787335	5329.255639	5305.7617	5749.529295	5557.394079	5724.7672	5132.682166
G5489	18612.44459	16216.21172	17141.09256	11443.98078	11275.0301	11735.48392	11834.5027	14034.28831	10101.48559
