GeneID	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18	Sample_19	Sample_20	Sample_21	Sample_22	Sample_23	Sample_24
ENSMUSG00000040693	0	0	0	8	1	1	57	0	18	0	0	0	0	0	4	0	3	66	0	43	0	0	0	1
ENSMUSG00000092052	0	0	2	9	7	0	16	0	5	0	0	0	1	0	9	7	0	30	0	13	0	5	0	3
ENSMUSG00000044757	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	1	1
ENSMUSG00000026331	8	13	15	18	30	25	14	6	10	0	5	65	142	0	9	62	27	47	1	4	1	64	84	243
ENSMUSG00000044768	39	49	28	279	1036	26	122	17	42	3	74	207	192	2	213	824	31	221	12	50	20	201	303	213
ENSMUSG00000040648	153	198	75	246	781	519	77	42	37	2	121	227	292	13	188	1028	984	262	40	73	4	427	299	568
ENSMUSG00000026333	8	41	21	50	35	37	28	6	16	1	33	73	114	4	40	47	48	64	12	23	10	86	94	92
ENSMUSG00000026335	51	52	22	367	1104	942	128	14	426	13	359	784	417	4	338	1141	2133	435	14	458	26	1941	1710	828
ENSMUSG00000089169	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089782	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000089706	1	2	2	11	36	5	1	1	10	3	13	16	28	1	2	31	1	18	0	8	3	15	15	66
ENSMUSG00000065921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1
ENSMUSG00000026336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	2	0	13
ENSMUSG00000089791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000067028	0	0	0	40	1	0	0	0	0	1	0	0	0	0	33	0	3	0	0	0	2	3	0	0
ENSMUSG00000082431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000050840	0	0	0	44	0	0	0	0	0	1	0	0	2	0	20	0	1	0	0	0	0	0	0	0
ENSMUSG00000047496	71	192	45	269	561	30	110	22	6	0	11	55	132	2	234	767	42	286	17	5	2	21	97	277
ENSMUSG00000090759	7	50	1	0	4	0	1	4	0	0	0	0	6	0	0	9	7	7	2	0	0	0	0	0
ENSMUSG00000056536	15	26	30	52	107	14	30	2	13	7	64	62	102	2	45	97	39	74	8	33	10	110	93	176
ENSMUSG00000026319	103	96	89	333	847	60	82	33	72	3	89	218	471	8	237	1279	125	152	12	90	16	314	250	950
ENSMUSG00000026321	0	12	0	22	592	9	0	0	3	0	8	48	58	0	9	579	7	13	0	8	0	35	75	220
ENSMUSG00000038866	18	16	26	28	81	13	7	10	15	1	22	32	106	2	8	115	11	10	8	28	3	23	72	163
ENSMUSG00000044340	15	15	23	108	93	17	13	8	30	0	17	42	65	3	80	87	25	37	4	30	12	11	40	156
ENSMUSG00000057329	8	28	4	73	107	13	32	3	19	4	32	252	276	0	38	219	9	119	3	41	5	60	272	416
ENSMUSG00000054006	0	0	0	1	6	0	1	0	0	0	0	6	6	0	0	1	0	0	0	1	1	6	2	19
ENSMUSG00000009905	83	74	75	150	270	29	66	34	58	3	84	406	236	18	143	242	55	157	44	116	13	118	379	625
ENSMUSG00000009907	318	398	208	371	2910	108	292	75	106	7	365	918	1311	20	275	2824	277	683	69	231	22	1210	1061	2210
ENSMUSG00000067006	0	1	0	0	698	0	2	0	116	0	0	0	3428	0	0	767	1	1	0	0	0	0	0	8648
ENSMUSG00000059956	0	0	0	0	0	0	0	0	209	0	0	0	17	0	0	0	0	0	0	0	0	0	2	42
ENSMUSG00000048775	0	0	0	0	0	0	0	0	4	0	0	1	5	0	0	4	0	0	0	0	0	0	0	26
ENSMUSG00000084228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
ENSMUSG00000044594	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	1	0	0	1	0	2	0	1
ENSMUSG00000058017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000073602	0	0	0	0	0	0	0	0	9	0	0	0	23	0	0	0	0	0	0	0	0	0	0	123
ENSMUSG00000080729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
ENSMUSG00000073601	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000084189	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000026327	0	1	0	0	0	0	0	0	47	0	0	0	348	0	0	0	4	0	0	0	0	0	0	898
ENSMUSG00000087210	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067001	0	0	0	0	1	0	0	0	20	0	0	0	1128	0	0	0	3	0	0	0	1	0	2	5271
ENSMUSG00000089278	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
ENSMUSG00000062345	0	1	0	0	0	0	0	0	28	0	0	61	1514	0	0	1	1	0	0	26	0	6	5	3715
ENSMUSG00000092572	0	0	0	1	0	0	0	0	15	0	0	3	131	0	0	0	0	0	0	4	0	0	0	323
ENSMUSG00000026315	19	23	27	27	15	3	20	6	20	0	14	79	311	0	13	3	11	43	13	18	1	261	77	927
ENSMUSG00000086161	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	1	1	0
ENSMUSG00000084741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000026312	0	0	0	200	0	0	0	0	1	0	0	1	0	0	131	10	0	1	0	1	1	1	0	4
ENSMUSG00000047216	4	4	4	159	121	56	5	2	2	1	0	82	225	0	114	130	73	0	2	2	2	1	40	265
